rep,date,season,day,survey,microhabitat,family,species,migratory_class,guild,behavior_simple,month.day.hour
101,2019-05-01,spring,1,3,shrub,Mimidae,Northern Mockingbird,resident,omnivore,Active movement,5.1.16
102,2019-05-01,spring,1,3,open,Troglodytidae,Rock Wren,resident,insectivore,Inactivity,5.1.16
103,2019-08-18,summer,18,34,open,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.18.6
104,2019-05-01,spring,1,3,open,Ptiliogonatidae,Phainopepla,resident,frugivore,Active movement,5.1.16
104,2019-08-18,summer,18,34,shrub,Troglodytidae,Bewick's Wren,resident,insectivore,Active movement,8.18.6
105,2019-05-01,spring,1,3,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,Inactivity,5.1.16
105,2019-08-18,summer,18,34,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.18.6
107,2019-05-01,spring,1,3,cactus,Fringillidae,House Finch,resident,frugivore,Territorial/mating,5.1.16
108,2019-05-01,spring,1,3,cactus,Fringillidae,House Finch,resident,frugivore,Territorial/mating,5.1.16
109,2019-05-02,spring,2,4,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,Territorial/mating,5.2.6
10,2019-08-14,summer,14,27,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.14.17
110,2019-05-02,spring,2,4,shrub,Trochilidae,Costa's Hummingbird,summer resident,nectarivore,Active movement,5.2.6
111,2019-05-02,spring,2,4,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.2.6
112,2019-05-02,spring,2,4,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,Territorial/mating,5.2.6
113,2019-05-02,spring,2,4,shrub,Polioptilidae,Black.tailed Gnatcatcher,resident,insectivore,Inactivity,5.2.6
113,2019-08-18,summer,18,34,cactus,Troglodytidae,Cactus Wren,resident,omnivore,Territorial/mating,8.18.6
